sample_type,province,location,season,lon,lat,antibiotic,median_concentration,concentration_unit,sample_year,reference_number
sediment,Shaanxi,Shaanxi Hanjiang river,11,107.00618,33.05715,Ciprofloxacin,1.1,ng/g,2014,128
sediment,Shaanxi,Shaanxi Hanjiang river,11,107.00618,33.05715,Doxycycline,2.6,ng/g,2014,128
sediment,Shaanxi,Shaanxi Hanjiang river,11,107.00618,33.05715,Enrofloxacin,1.3,ng/g,2014,128
sediment,Shaanxi,Shaanxi Hanjiang river,11,107.00618,33.05715,Norfloxacin,1.7,ng/g,2014,128
sediment,Shaanxi,Shaanxi Hanjiang river,11,107.00618,33.05715,Ofloxacin,1.9,ng/g,2014,128
sediment,Shaanxi,Shaanxi Hanjiang river,11,107.00618,33.05715,Oxytetracycline,2.2,ng/g,2014,128
sediment,Shaanxi,Shaanxi Hanjiang river,11,107.00618,33.05715,Sulfadiazine,0.54,ng/g,2014,128
sediment,Shaanxi,Shaanxi Hanjiang river,11,107.00618,33.05715,Sulfadimidine,0.18,ng/g,2014,128
sediment,Shaanxi,Shaanxi Hanjiang river,11,107.00618,33.05715,Sulfameter,2.3,ng/g,2014,128
sediment,Shaanxi,Shaanxi Hanjiang river,11,107.00618,33.05715,Sulfamethoxazole,0.33,ng/g,2014,128
sediment,Shaanxi,Shaanxi Hanjiang river,11,107.00618,33.05715,Tetracycline,1.2,ng/g,2014,128
sediment,Shaanxi,Shaanxi Hanjiang river,11,107.00618,33.05715,Trimethoprim,3.8,ng/g,2014,128
sediment,Shaanxi,Shaanxi Hanjiang river,6,107.00618,33.05715,Chlortetracycline,3.5,ng/g,2015,128
sediment,Shaanxi,Shaanxi Hanjiang river,6,107.00618,33.05715,Ciprofloxacin,0.98,ng/g,2015,128
sediment,Shaanxi,Shaanxi Hanjiang river,6,107.00618,33.05715,Doxycycline,3.5,ng/g,2015,128
sediment,Shaanxi,Shaanxi Hanjiang river,6,107.00618,33.05715,Enrofloxacin,1.2,ng/g,2015,128
sediment,Shaanxi,Shaanxi Hanjiang river,6,107.00618,33.05715,Norfloxacin,2,ng/g,2015,128
sediment,Shaanxi,Shaanxi Hanjiang river,6,107.00618,33.05715,Ofloxacin,1.2,ng/g,2015,128
sediment,Shaanxi,Shaanxi Hanjiang river,6,107.00618,33.05715,Oxytetracycline,0.97,ng/g,2015,128
sediment,Shaanxi,Shaanxi Hanjiang river,6,107.00618,33.05715,Sulfadiazine,0.34,ng/g,2015,128
sediment,Shaanxi,Shaanxi Hanjiang river,6,107.00618,33.05715,Sulfadimidine,0.2,ng/g,2015,128
sediment,Shaanxi,Shaanxi Hanjiang river,6,107.00618,33.05715,Sulfameter,2.7,ng/g,2015,128
sediment,Shaanxi,Shaanxi Hanjiang river,6,107.00618,33.05715,Sulfamethoxazole,0.18,ng/g,2015,128
sediment,Shaanxi,Shaanxi Hanjiang river,6,107.00618,33.05715,Tetracycline,1.7,ng/g,2015,128
sediment,Shaanxi,Shaanxi Hanjiang river,6,107.00618,33.05715,Trimethoprim,1.9,ng/g,2015,128
sediment,Shaanxi,Shaanxi Weihe river,NA,109.075634,34.466554,Chlortetracycline,4.96,ng/g,NA,143
sediment,Shaanxi,Shaanxi Weihe river,NA,109.075634,34.466554,Mecillinam,1.7,ng/g,NA,143
sediment,Shaanxi,Shaanxi Weihe river,NA,109.075634,34.466554,Oxytetracycline,16.13,ng/g,NA,143
sediment,Shaanxi,Shaanxi Xian Ba river,3,109.016667,34.347222,Cefazolin,43,ng/g,2017,136
sediment,Shaanxi,Shaanxi Xian Ba river,3,109.016667,34.347222,Chloramphenicol,2.79,ng/g,2017,136
sediment,Shaanxi,Shaanxi Xian Ba river,3,109.016667,34.347222,Chlortetracycline,3.38,ng/g,2017,136
sediment,Shaanxi,Shaanxi Xian Ba river,3,109.016667,34.347222,Ciprofloxacin,17.3,ng/g,2017,136
sediment,Shaanxi,Shaanxi Xian Ba river,3,109.016667,34.347222,Erythromycin-H2O,50.9,ng/g,2017,136
sediment,Shaanxi,Shaanxi Xian Ba river,3,109.016667,34.347222,Norfloxacin,111,ng/g,2017,136
sediment,Shaanxi,Shaanxi Xian Ba river,3,109.016667,34.347222,Oxytetracycline,456,ng/g,2017,136
sediment,Shaanxi,Shaanxi Xian Ba river,3,109.016667,34.347222,Roxithromycin,27.9,ng/g,2017,136
sediment,Shaanxi,Shaanxi Xian Ba river,3,109.016667,34.347222,Sulfadiazine,2.58,ng/g,2017,136
sediment,Shaanxi,Shaanxi Xian Ba river,3,109.016667,34.347222,Sulfadimidine,36.5,ng/g,2017,136
sediment,Shaanxi,Shaanxi Xian Ba river,3,109.016667,34.347222,Tetracycline,128,ng/g,2017,136
sediment,Shaanxi,Shaanxi Xian Ba river,3,109.016667,34.347222,Trimethoprim,14.7,ng/g,2017,136
sediment,Shaanxi,Shaanxi Xian Ba river,7,109.016667,34.347222,Chloramphenicol,5.05,ng/g,2017,136
sediment,Shaanxi,Shaanxi Xian Ba river,7,109.016667,34.347222,Ciprofloxacin,62.5,ng/g,2017,136
sediment,Shaanxi,Shaanxi Xian Ba river,7,109.016667,34.347222,Erythromycin-H2O,10.2,ng/g,2017,136
sediment,Shaanxi,Shaanxi Xian Ba river,7,109.016667,34.347222,Norfloxacin,64.2,ng/g,2017,136
sediment,Shaanxi,Shaanxi Xian Ba river,7,109.016667,34.347222,Oxytetracycline,162,ng/g,2017,136
sediment,Shaanxi,Shaanxi Xian Ba river,7,109.016667,34.347222,Roxithromycin,2.82,ng/g,2017,136
sediment,Shaanxi,Shaanxi Xian Ba river,7,109.016667,34.347222,Sulfadiazine,5,ng/g,2017,136
sediment,Shaanxi,Shaanxi Xian Ba river,7,109.016667,34.347222,Sulfadimidine,413,ng/g,2017,136
sediment,Shaanxi,Shaanxi Xian Ba river,7,109.016667,34.347222,Tetracycline,40.8,ng/g,2017,136
sediment,Shaanxi,Shaanxi Xian Ba river,7,109.016667,34.347222,Trimethoprim,1.24,ng/g,2017,136
sediment,Shandong,Shandong,7,117.020359,36.66853,Chloramphenicol,2.8683829787234045,ng/g,2015,125
sediment,Shandong,Shandong,7,117.020359,36.66853,Ciprofloxacin,58.968191489361715,ng/g,2015,125
sediment,Shandong,Shandong,7,117.020359,36.66853,Doxycycline,9.009276595744682,ng/g,2015,125
sediment,Shandong,Shandong,7,117.020359,36.66853,Enrofloxacin,8.764106382978724,ng/g,2015,125
sediment,Shandong,Shandong,7,117.020359,36.66853,Levofloxacin,13.699042553191488,ng/g,2015,125
sediment,Shandong,Shandong,7,117.020359,36.66853,Norfloxacin,0.38338297872340427,ng/g,2015,125
sediment,Shandong,Shandong,7,117.020359,36.66853,Sulfamethoxazole,0.16131914893617022,ng/g,2015,125
sediment,Shandong,Shandong Bohai Sea and surrounding estuaries,11,119.463619,37.022089,Chlortetracycline,0.6,ng/g,2017,120
sediment,Shandong,Shandong Bohai Sea and surrounding estuaries,11,119.463619,37.022089,Ciprofloxacin,0.8499999999999999,ng/g,2017,120
sediment,Shandong,Shandong Bohai Sea and surrounding estuaries,11,119.463619,37.022089,Doxycycline,1,ng/g,2017,120
sediment,Shandong,Shandong Bohai Sea and surrounding estuaries,11,119.463619,37.022089,Norfloxacin,1.4,ng/g,2017,120
sediment,Shandong,Shandong Bohai Sea and surrounding estuaries,11,119.463619,37.022089,Oxytetracycline,12.3,ng/g,2017,120
sediment,Shandong,Shandong Bohai Sea and surrounding estuaries,11,119.463619,37.022089,Roxithromycin,0.9,ng/g,2017,120
sediment,Shandong,Shandong Bohai Sea and surrounding estuaries,11,119.463619,37.022089,Sulfadimethoxine,0.3,ng/g,2017,120
sediment,Shandong,Shandong Bohai Sea and surrounding estuaries,11,119.463619,37.022089,Sulfamethoxazole,0.5,ng/g,2017,120
sediment,Shandong,Shandong Bohai Sea and surrounding estuaries,11,119.463619,37.022089,Sulfamonomethoxine,0.2,ng/g,2017,120
sediment,Shandong,Shandong Bohai Sea and surrounding estuaries,11,119.463619,37.022089,Tetracycline,0.6,ng/g,2017,120
sediment,Shandong,Shandong Bohai Sea and surrounding estuaries,8,119.5,37,Chlortetracycline,11.2,ng/g,2013,120
sediment,Shandong,Shandong Bohai Sea and surrounding estuaries,8,119.5,37,Ciprofloxacin,12.9,ng/g,2013,120
sediment,Shandong,Shandong Bohai Sea and surrounding estuaries,8,119.5,37,Doxycycline,110.8,ng/g,2013,120
sediment,Shandong,Shandong Bohai Sea and surrounding estuaries,8,119.5,37,Enrofloxacin,19.9,ng/g,2013,120
sediment,Shandong,Shandong Bohai Sea and surrounding estuaries,8,119.5,37,Norfloxacin,15.1,ng/g,2013,120
sediment,Shandong,Shandong Bohai Sea and surrounding estuaries,8,119.5,37,Ofloxacin,7.6,ng/g,2013,120
sediment,Shandong,Shandong Bohai Sea and surrounding estuaries,8,119.5,37,Oxytetracycline,268.8,ng/g,2013,120
sediment,Shandong,Shandong Bohai Sea and surrounding estuaries,8,119.5,37,Roxithromycin,2.5,ng/g,2013,120
sediment,Shandong,Shandong Bohai Sea and surrounding estuaries,8,119.5,37,Tetracycline,25.3,ng/g,2013,120
sediment,Shandong,Shandong Jiaozhou Bay,11,120.125,36.15,Ciprofloxacin,1.41,ng/g,2015,102
sediment,Shandong,Shandong Jiaozhou Bay,11,120.125,36.15,Enrofloxacin,0.18,ng/g,2015,102
sediment,Shandong,Shandong Jiaozhou Bay,11,120.125,36.15,Flumequine,0.2,ng/g,2015,102
sediment,Shandong,Shandong Jiaozhou Bay,11,120.125,36.15,Lomefloxacin,0.09,ng/g,2015,102
sediment,Shandong,Shandong Jiaozhou Bay,11,120.125,36.15,Ofloxacin,2.7,ng/g,2015,102
sediment,Shandong,Shandong Jiaozhou Bay,11,120.125,36.15,Oxolinic Acid,0.89,ng/g,2015,102
sediment,Shandong,Shandong Jiaozhou Bay,11,120.125,36.15,Pipemidic Acid,2.85,ng/g,2015,102
sediment,Shandong,Shandong Jiaozhou Bay,11,120.125,36.15,Sarafloxacin,0.12,ng/g,2015,102
sediment,Shandong,Shandong Jining Weishan County Nansi Lake,2,116.958333,34.891667,Chlortetracycline,0.289,ng/g,2017,75
sediment,Shandong,Shandong Jining Weishan County Nansi Lake,2,116.958333,34.891667,Ciprofloxacin,0.395,ng/g,2017,75
sediment,Shandong,Shandong Jining Weishan County Nansi Lake,2,116.958333,34.891667,Enrofloxacin,12.696,ng/g,2017,75
sediment,Shandong,Shandong Jining Weishan County Nansi Lake,2,116.958333,34.891667,Erythromycin-H2O,0.246,ng/g,2017,75
sediment,Shandong,Shandong Jining Weishan County Nansi Lake,2,116.958333,34.891667,Norfloxacin,1.318,ng/g,2017,75
sediment,Shandong,Shandong Jining Weishan County Nansi Lake,2,116.958333,34.891667,Ofloxacin,2.53,ng/g,2017,75
sediment,Shandong,Shandong Jining Weishan County Nansi Lake,2,116.958333,34.891667,Oxytetracycline,0.242,ng/g,2017,75
sediment,Shandong,Shandong Jining Weishan County Nansi Lake,2,116.958333,34.891667,Roxithromycin-H2O,1.199,ng/g,2017,75
sediment,Shandong,Shandong Jining Weishan County Nansi Lake,2,116.958333,34.891667,Sulfadiazine,0.856,ng/g,2017,75
sediment,Shandong,Shandong Jining Weishan County Nansi Lake,2,116.958333,34.891667,Sulfadimidine,0.443,ng/g,2017,75
sediment,Shandong,Shandong Jining Weishan County Nansi Lake,2,116.958333,34.891667,Sulfamerazine,0.298,ng/g,2017,75
sediment,Shandong,Shandong Jining Weishan County Nansi Lake,2,116.958333,34.891667,Sulfamethoxazole,0.187,ng/g,2017,75
sediment,Shandong,Shandong Jining Weishan County Nansi Lake,2,116.958333,34.891667,Tetracycline,3.481,ng/g,2017,75
sediment,Shandong,Shandong Jining Weishan County Nansi Lake,2,116.958333,34.891667,Trimethoprim,0.026,ng/g,2017,75
sediment,Shandong,Shandong Jining Weishan County Nansi Lake,8,116.958333,34.891667,Chlortetracycline,0.239,ng/g,2017,75
sediment,Shandong,Shandong Jining Weishan County Nansi Lake,8,116.958333,34.891667,Ciprofloxacin,0.311,ng/g,2017,75
sediment,Shandong,Shandong Jining Weishan County Nansi Lake,8,116.958333,34.891667,Enrofloxacin,0.344,ng/g,2017,75
sediment,Shandong,Shandong Jining Weishan County Nansi Lake,8,116.958333,34.891667,Norfloxacin,3.458,ng/g,2017,75
sediment,Shandong,Shandong Jining Weishan County Nansi Lake,8,116.958333,34.891667,Ofloxacin,6.448,ng/g,2017,75
sediment,Shandong,Shandong Jining Weishan County Nansi Lake,8,116.958333,34.891667,Oxytetracycline,1.04,ng/g,2017,75
sediment,Shandong,Shandong Jining Weishan County Nansi Lake,8,116.958333,34.891667,Roxithromycin-H2O,1.361,ng/g,2017,75
sediment,Shandong,Shandong Jining Weishan County Nansi Lake,8,116.958333,34.891667,Sulfadiazine,3.188,ng/g,2017,75
sediment,Shandong,Shandong Jining Weishan County Nansi Lake,8,116.958333,34.891667,Sulfadimidine,1.755,ng/g,2017,75
sediment,Shandong,Shandong Jining Weishan County Nansi Lake,8,116.958333,34.891667,Sulfamerazine,0.19,ng/g,2017,75
sediment,Shandong,Shandong Jining Weishan County Nansi Lake,8,116.958333,34.891667,Sulfamethoxazole,2.049,ng/g,2017,75
sediment,Shandong,Shandong Jining Weishan County Nansi Lake,8,116.958333,34.891667,Tetracycline,0.146,ng/g,2017,75
sediment,Shandong,Shandong Jining Weishan County Nansi Lake,8,116.958333,34.891667,Trimethoprim,0.146,ng/g,2017,75
sediment,Shandong,Shandong Qingdao,3,120.382639,36.067082,Chlortetracycline,0.42,ng/g,2013,164
sediment,Shandong,Shandong Qingdao,3,120.382639,36.067082,Doxycycline,9.340000000000002,ng/g,2013,164
sediment,Shandong,Shandong Qingdao,3,120.382639,36.067082,Oxytetracycline,7.4,ng/g,2013,164
sediment,Shandong,Shandong Qingdao,3,120.382639,36.067082,Sulfadiazine,0.12,ng/g,2013,164
sediment,Shandong,Shandong Qingdao,3,120.382639,36.067082,Sulfadimidine,0.26,ng/g,2013,164
sediment,Shandong,Shandong Qingdao,3,120.382639,36.067082,Sulfamerazine,0.05,ng/g,2013,164
sediment,Shandong,Shandong Qingdao,3,120.382639,36.067082,Sulfamethoxazole,0.13,ng/g,2013,164
sediment,Shandong,Shandong Qingdao,3,120.382639,36.067082,Sulfapyridine,0.09,ng/g,2013,164
sediment,Shandong,Shandong Qingdao,3,120.382639,36.067082,Sulfaquinoxaline,0.04,ng/g,2013,164
sediment,Shandong,Shandong Qingdao,3,120.382639,36.067082,Sulfathiazole,0.03,ng/g,2013,164
sediment,Shandong,Shandong Qingdao,3,120.382639,36.067082,Tetracycline,6.45,ng/g,2013,164
sediment,Shandong,Shandong Qingdao Huangdao district Jiaozhou Bay,2,120.233056,36.066667,Flumequine,0.02,ng/g,2018,65
sediment,Shandong,Shandong Qingdao Huangdao district Jiaozhou Bay,2,120.176667,36.104444,Oxytetracycline,0.355,ng/g,2018,65
sediment,Shandong,Shandong Qingdao Huangdao district Jiaozhou Bay,2,120.233056,36.066667,Roxithromycin,0.64,ng/g,2018,65
sediment,Shandong,Shandong Qingdao Huangdao district Jiaozhou Bay,2,120.176667,36.104444,Sulfabenzamide,0.12,ng/g,2018,65
sediment,Shandong,Shandong Qingdao Jiaozhou Jiaozhou Bay wetland,6,120.106,36.121,Ciprofloxacin,0.03,ng/g,2016,145
sediment,Shandong,Shandong Qingdao Jiaozhou Jiaozhou Bay wetland,6,120.106,36.121,Enrofloxacin,0.176,ng/g,2016,145
sediment,Shandong,Shandong Qingdao Jiaozhou Jiaozhou Bay wetland,6,120.106,36.121,Lomefloxacin,0.255,ng/g,2016,145
sediment,Shandong,Shandong Qingdao Jiaozhou Jiaozhou Bay wetland,6,120.106,36.121,Ofloxacin,1.049,ng/g,2016,145
sediment,Shandong,Shandong Qingdao Jiaozhou Jiaozhou Bay wetland,6,120.106,36.121,Oxolinic Acid,0.718,ng/g,2016,145
sediment,Shandong,Shandong Qingdao Jiaozhou Jiaozhou Bay wetland,6,120.106,36.121,Sarafloxacin,0.173,ng/g,2016,145
sediment,Shandong,Shandong Qingdao Shibei district Jiaozhou Bay,2,120.186667,36.133056,Flumequine,0.04,ng/g,2018,65
sediment,Shandong,Shandong Qingdao Shibei district Jiaozhou Bay,2,120.291667,36.1,Ofloxacin,0.095,ng/g,2018,65
sediment,Shandong,Shandong Qingdao Shibei district Jiaozhou Bay,2,120.25,36.133056,Oxolinic Acid,0.02,ng/g,2018,65
sediment,Shandong,Shandong Qingdao Shibei district Jiaozhou Bay,2,120.186667,36.133056,Oxytetracycline,2.38,ng/g,2018,65
sediment,Shandong,Shandong Qingdao Shibei district Jiaozhou Bay,2,120.186667,36.133056,Roxithromycin,1.245,ng/g,2018,65
sediment,Shandong,Shandong Qingdao Shibei district Jiaozhou Bay,2,120.186667,36.133056,Sulfabenzamide,0.26,ng/g,2018,65
sediment,Shandong,Shandong Qingdao Shibei district Jiaozhou Bay,2,120.186667,36.133056,Sulfaphenazole,0.10500000000000001,ng/g,2018,65
sediment,Shandong,Shandong Qingdao Shibei district Jiaozhou Bay,2,120.186667,36.133056,Sulfaquinoxaline,0.03,ng/g,2018,65
sediment,Shandong,Shandong Qingdao Shibei district Jiaozhou Bay,2,120.291667,36.1,Tetracycline,0.375,ng/g,2018,65
sediment,Shandong,Shandong Qingdao Shinan district Jiaozhou Bay,2,120.38,36.036111,Flumequine,0.01,ng/g,2018,65
sediment,Shandong,Shandong Qingdao Shinan district Jiaozhou Bay,2,120.38,36.036111,Roxithromycin,0.36,ng/g,2018,65
sediment,Shandong,Shandong Qingdao Shinan district Jiaozhou Bay,2,120.38,36.036111,Sulfabenzamide,0.14,ng/g,2018,65
sediment,Shandong,Shandong Qingdao Shinan district Jiaozhou Bay,2,120.38,36.036111,Tetracycline,3.43,ng/g,2018,65
sediment,Shandong,Shandong Qinghai Jiaozhou the Yang river Estuary,NA,120.105,36.125,Ciprofloxacin,0.3,ng/g,2016,61
sediment,Shandong,Shandong Qinghai Jiaozhou the Yang river Estuary,NA,120.105,36.125,Enrofloxacin,0.14,ng/g,2016,61
sediment,Shandong,Shandong Qinghai Jiaozhou the Yang river Estuary,NA,120.105,36.125,Flumequine,0.1,ng/g,2016,61
sediment,Shandong,Shandong Qinghai Jiaozhou the Yang river Estuary,NA,120.105,36.125,Lomefloxacin,0.11,ng/g,2016,61
sediment,Shandong,Shandong Qinghai Jiaozhou the Yang river Estuary,NA,120.105,36.125,Ofloxacin,1.28,ng/g,2016,61
sediment,Shandong,Shandong Qinghai Jiaozhou the Yang river Estuary,NA,120.105,36.125,Oxolinic Acid,0.21,ng/g,2016,61
sediment,Shandong,Shandong Qinghai Jiaozhou the Yang river Estuary,NA,120.105,36.125,Pipemidic Acid,2.43,ng/g,2016,61
sediment,Shandong,Shandong Qinghai Jiaozhou the Yang river Estuary,NA,120.105,36.125,Sarafloxacin,0.06,ng/g,2016,61
sediment,Shandong,Shandong Qinghai Jiaozhou the downstream of Yang river,NA,120.075,36.135,Ciprofloxacin,0.11,ng/g,2016,61
sediment,Shandong,Shandong Qinghai Jiaozhou the downstream of Yang river,NA,120.075,36.135,Enrofloxacin,0.08,ng/g,2016,61
sediment,Shandong,Shandong Qinghai Jiaozhou the downstream of Yang river,NA,120.075,36.135,Flumequine,0.06,ng/g,2016,61
sediment,Shandong,Shandong Qinghai Jiaozhou the downstream of Yang river,NA,120.075,36.135,Lomefloxacin,0.17,ng/g,2016,61
sediment,Shandong,Shandong Qinghai Jiaozhou the downstream of Yang river,NA,120.075,36.135,Ofloxacin,1.77,ng/g,2016,61
sediment,Shandong,Shandong Qinghai Jiaozhou the downstream of Yang river,NA,120.075,36.135,Oxolinic Acid,0.12,ng/g,2016,61
sediment,Shandong,Shandong Qinghai Jiaozhou the downstream of Yang river,NA,120.075,36.135,Pipemidic Acid,1.51,ng/g,2016,61
sediment,Shandong,Shandong Qinghai Jiaozhou the downstream of Yang river,NA,120.075,36.135,Sarafloxacin,0.09,ng/g,2016,61
sediment,Shandong,Shandong Yantai Haiyang,11,121.045599,36.621305,Ciprofloxacin,0.54,ng/g,2018,52
sediment,Shandong,Shandong Yantai Haiyang,11,121.153602,36.680283,Clarithromycin,0.43,ng/g,2018,52
sediment,Shandong,Shandong Yantai Haiyang,11,121.153602,36.680283,Doxycycline,0.2,ng/g,2018,52
sediment,Shandong,Shandong Yantai Haiyang,11,121.008671,36.647354,Enrofloxacin,0.47,ng/g,2018,52
sediment,Shandong,Shandong Yantai Haiyang,11,121.119055,36.651358,Norfloxacin,0.54,ng/g,2018,52
sediment,Shandong,Shandong Yantai Haiyang,11,121.006167,36.640879,Ofloxacin,0.4,ng/g,2018,52
sediment,Shandong,Shandong Yantai Haiyang,11,121.153602,36.680283,Oxytetracycline,37.415,ng/g,2018,52
sediment,Shandong,Shandong Yantai Haiyang,11,121.153602,36.680283,Roxithromycin,5,ng/g,2018,52
sediment,Shandong,Shandong Yantai Haiyang,11,121.153602,36.680283,Sarafloxacin,0.38,ng/g,2018,52
sediment,Shandong,Shandong Yantai Haiyang,11,121.110786,36.648224,Sulfadiazine,0.29,ng/g,2018,52
sediment,Shandong,Shandong Yantai Haiyang,11,121.110786,36.648224,Sulfadimidine,0.08,ng/g,2018,52
sediment,Shandong,Shandong Yantai Haiyang,11,121.045599,36.621305,Sulfamethoxazole,0.26,ng/g,2018,52
sediment,Shandong,Shandong Yantai Haiyang,11,121.110786,36.648224,Sulfaquinoxaline,0.16,ng/g,2018,52
sediment,Shandong,Shandong Yantai Haiyang,11,121.119055,36.651358,Tetracycline,0.51,ng/g,2018,52
sediment,Shandong,Shandong Yantai Haiyang,11,121.119055,36.651358,Trimethoprim,0.19,ng/g,2018,52
sediment,Shandong,Shandong Yantai Haiyang,8,121.006167,36.640879,Ciprofloxacin,0.33,ng/g,2018,52
sediment,Shandong,Shandong Yantai Haiyang,8,121.110786,36.648224,Doxycycline,0.22,ng/g,2018,52
sediment,Shandong,Shandong Yantai Haiyang,8,121.008671,36.647354,Enrofloxacin,0.92,ng/g,2018,52
sediment,Shandong,Shandong Yantai Haiyang,8,121.008671,36.647354,Norfloxacin,0.45,ng/g,2018,52
sediment,Shandong,Shandong Yantai Haiyang,8,121.119055,36.651358,Ofloxacin,0.46,ng/g,2018,52
sediment,Shandong,Shandong Yantai Haiyang,8,121.110786,36.648311,Oxytetracycline,5.46,ng/g,2018,52
sediment,Shandong,Shandong Yantai Haiyang,8,121.045599,36.621305,Sarafloxacin,0.32,ng/g,2018,52
sediment,Shandong,Shandong Yantai Haiyang,8,121.110786,36.648311,Sulfadiazine,0.315,ng/g,2018,52
sediment,Shandong,Shandong Yantai Haiyang,8,121.110786,36.648224,Sulfadimidine,0.08,ng/g,2018,52
sediment,Shandong,Shandong Yantai Haiyang,8,121.110786,36.648311,Sulfamethoxazole,0.09,ng/g,2018,52
sediment,Shandong,Shandong Yantai Haiyang,8,121.045599,36.621305,Sulfaquinoxaline,0.19,ng/g,2018,52
sediment,Shandong,Shandong Yantai Haiyang,8,121.110786,36.648224,Tetracycline,7.43,ng/g,2018,52
sediment,Shandong,Shandong Yantai Haiyang,8,121.110786,36.648224,Trimethoprim,0.275,ng/g,2018,52
sediment,Shandong,Shandong Yantai Penglai district,9,120.757579,37.793492,Ciprofloxacin,243,ng/g,2015,124
sediment,Shandong,Shandong Yantai Penglai district,9,120.757579,37.793492,Enrofloxacin,5.25,ng/g,2015,124
sediment,Shandong,Shandong Yantai Penglai district,9,120.757579,37.793492,Oxytetracycline,0.39,ng/g,2015,124
sediment,Shandong,Shandong Yantai Penglai district,9,120.757579,37.793492,Sulfadiazine,715,ng/g,2015,124
sediment,Shandong,Shandong Yantai Penglai district,9,120.757579,37.793492,Sulfamethoxazole,303,ng/g,2015,124
sediment,Shandong,Shandong Yantai Penglai district,9,120.757579,37.793492,Tetracycline,1231,ng/g,2015,124
sediment,Shandong,Shandong Yellow Sea & Bohai Sea,NA,120.188821,36.20126,Ciprofloxacin,5300,ng/g,NA,130
sediment,Shandong,Shandong Yellow Sea & Bohai Sea,NA,120.188821,36.20126,Enoxacin,2300,ng/g,NA,130
sediment,Shandong,Shandong Yellow Sea & Bohai Sea,NA,120.188821,36.20126,Flumequine,4900,ng/g,NA,130
sediment,Shandong,Shandong Yellow Sea & Bohai Sea,NA,120.188821,36.20126,Moxifloxacin,1800,ng/g,NA,130
sediment,Shandong,Shandong Yellow Sea & Bohai Sea,NA,120.188821,36.20126,Nalidixic Acid,1400,ng/g,NA,130
sediment,Shandong,Shandong Yellow Sea & Bohai Sea,NA,120.188821,36.20126,Norfloxacin,7000,ng/g,NA,130
sediment,Shandong,Shandong Yellow Sea & Bohai Sea,NA,120.188821,36.20126,Ofloxacin,7600,ng/g,NA,130
sediment,Shandong,Shandong Yellow Sea & Bohai Sea,NA,120.188821,36.20126,Oxolinic Acid,4700,ng/g,NA,130
sediment,Shandong,Shandong Yellow Sea & Bohai Sea,NA,120.188821,36.20126,Pipemidic Acid,2900,ng/g,NA,130
sediment,Shandong,Shandong Yellow river Delta,4,119,38,Ciprofloxacin,26.62,ng/g,2014,96
sediment,Shandong,Shandong Yellow river Delta,4,119,38,Enrofloxacin,7.04,ng/g,2014,96
sediment,Shandong,Shandong Yellow river Delta,4,119,38,Erythromycin-H2O,2.11,ng/g,2014,96
sediment,Shandong,Shandong Yellow river Delta,4,119,38,Norfloxacin,22.37,ng/g,2014,96
sediment,Shandong,Shandong Yellow river Delta,4,119,38,Ofloxacin,16.26,ng/g,2014,96
sediment,Shandong,Shandong Yellow river Delta,4,119,38,Oxytetracycline,3.31,ng/g,2014,96
sediment,Shandong,Shandong Yellow river Delta,4,119,38,Roxithromycin,1.14,ng/g,2014,96
sediment,Shandong,Shandong Yellow river Delta,4,119,38,Tetracycline,9.170000000000002,ng/g,2014,96
sediment,Shandong,Shandong Yellow river Delta,9,119,38,Ciprofloxacin,38.27,ng/g,2014,96
sediment,Shandong,Shandong Yellow river Delta,9,119,38,Enrofloxacin,7.21,ng/g,2014,96
sediment,Shandong,Shandong Yellow river Delta,9,119,38,Erythromycin-H2O,2.55,ng/g,2014,96
sediment,Shandong,Shandong Yellow river Delta,9,119,38,Norfloxacin,19.21,ng/g,2014,96
sediment,Shandong,Shandong Yellow river Delta,9,119,38,Ofloxacin,9.29,ng/g,2014,96
sediment,Shandong,Shandong Yellow river Delta,9,119,38,Oxytetracycline,4.86,ng/g,2014,96
sediment,Shandong,Shandong Yellow river Delta,9,119,38,Roxithromycin,1.6,ng/g,2014,96
sediment,Shandong,Shandong Yellow river Delta,9,119,38,Tetracycline,9.79,ng/g,2014,96
sediment,Shandong,Shandong the Yellow river Delta,4,119,38.1,Ciprofloxacin,26.62,ng/g,2014,90
sediment,Shandong,Shandong the Yellow river Delta,4,119,38.1,Enrofloxacin,7.04,ng/g,2014,90
sediment,Shandong,Shandong the Yellow river Delta,4,119,38.1,Erythromycin-H2O,2.11,ng/g,2014,90
sediment,Shandong,Shandong the Yellow river Delta,4,119,38.1,Norfloxacin,22.37,ng/g,2014,90
sediment,Shandong,Shandong the Yellow river Delta,4,119,38.1,Ofloxacin,16.26,ng/g,2014,90
sediment,Shandong,Shandong the Yellow river Delta,4,119,38.1,Oxytetracycline,3.31,ng/g,2014,90
sediment,Shandong,Shandong the Yellow river Delta,4,119,38.1,Roxithromycin,1.14,ng/g,2014,90
sediment,Shandong,Shandong the Yellow river Delta,4,119,38.1,Tetracycline,9.170000000000002,ng/g,2014,90
sediment,Shandong,Shandong the Yellow river Delta,9,119,38.1,Ciprofloxacin,38.27,ng/g,2014,90
sediment,Shandong,Shandong the Yellow river Delta,9,119,38.1,Enrofloxacin,7.21,ng/g,2014,90
